telephone;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
tuner;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
beam;IfcBeamTypeEnum;IfcBeam
joist;IfcBeamTypeEnum;IfcBeam
hollowcore;IfcBeamTypeEnum;IfcBeam
lintel;IfcBeamTypeEnum;IfcBeam
spandrel;IfcBeamTypeEnum;IfcBeam
t_beam;IfcBeamTypeEnum;IfcBeam
girder_segment;IfcBeamTypeEnum;IfcBeam
diaphragm;IfcBeamTypeEnum;IfcBeam
piercap;IfcBeamTypeEnum;IfcBeam
hatstone;IfcBeamTypeEnum;IfcBeam
cornice;IfcBeamTypeEnum;IfcBeam
edgebeam;IfcBeamTypeEnum;IfcBeam
beam;IfcBeamTypeEnum;IfcBeamType
joist;IfcBeamTypeEnum;IfcBeamType
hollowcore;IfcBeamTypeEnum;IfcBeamType
lintel;IfcBeamTypeEnum;IfcBeamType
spandrel;IfcBeamTypeEnum;IfcBeamType
t_beam;IfcBeamTypeEnum;IfcBeamType
girder_segment;IfcBeamTypeEnum;IfcBeamType
diaphragm;IfcBeamTypeEnum;IfcBeamType
piercap;IfcBeamTypeEnum;IfcBeamType
hatstone;IfcBeamTypeEnum;IfcBeamType
cornice;IfcBeamTypeEnum;IfcBeamType
edgebeam;IfcBeamTypeEnum;IfcBeamType
cylindrical;IfcBearingTypeEnum;IfcBearing
spherical;IfcBearingTypeEnum;IfcBearing
elastomeric;IfcBearingTypeEnum;IfcBearing
pot;IfcBearingTypeEnum;IfcBearing
guide;IfcBearingTypeEnum;IfcBearing
rocker;IfcBearingTypeEnum;IfcBearing
roller;IfcBearingTypeEnum;IfcBearing
disk;IfcBearingTypeEnum;IfcBearing
cylindrical;IfcBearingTypeEnum;IfcBearingType
spherical;IfcBearingTypeEnum;IfcBearingType
elastomeric;IfcBearingTypeEnum;IfcBearingType
pot;IfcBearingTypeEnum;IfcBearingType
guide;IfcBearingTypeEnum;IfcBearingType
rocker;IfcBearingTypeEnum;IfcBearingType
roller;IfcBearingTypeEnum;IfcBearingType
disk;IfcBearingTypeEnum;IfcBearingType
water;IfcBoilerTypeEnum;IfcBoiler
steam;IfcBoilerTypeEnum;IfcBoiler
water;IfcBoilerTypeEnum;IfcBoilerType
steam;IfcBoilerTypeEnum;IfcBoilerType
insulation;IfcBuildingElementPartTypeEnum;IfcBuildingElementPart
