IfcElectricMotorType, IfcEnergyConversionDeviceType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcEnergyConversionDeviceType >
IfcElectricTimeControl, IfcFlowController, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcFlowController >
IfcElectricTimeControlType, IfcFlowControllerType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcFlowControllerType >
IfcElementAssembly, IfcElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement >
IfcElementAssemblyType, IfcElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType >
IfcElementComponent, IfcElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement >
IfcElementComponentType, IfcElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType >
IfcEnergyConversionDevice, IfcDistributionFlowElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement >
IfcEnergyConversionDeviceType, IfcDistributionFlowElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType >
IfcEngine, IfcEnergyConversionDevice, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcEnergyConversionDevice >
IfcEngineType, IfcEnergyConversionDeviceType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcEnergyConversionDeviceType >
IfcEvaporativeCooler, IfcEnergyConversionDevice, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcEnergyConversionDevice >
IfcEvaporativeCoolerType, IfcEnergyConversionDeviceType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcEnergyConversionDeviceType >
IfcEvaporator, IfcEnergyConversionDevice, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcEnergyConversionDevice >
IfcEvaporatorType, IfcEnergyConversionDeviceType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcEnergyConversionDeviceType >
IfcFan, IfcFlowMovingDevice, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcFlowMovingDevice >
IfcFanType, IfcFlowMovingDeviceType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcFlowMovingDeviceType >
IfcFastener, IfcElementComponent, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcElementComponent >
IfcFastenerType, IfcElementComponentType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcElementComponentType >     
IfcFeatureElement, IfcElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement >
IfcFeatureElementAddition, IfcFeatureElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcFeatureElement >
IfcFeatureElementSubtraction, IfcFeatureElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcFeatureElement >
IfcFilter, IfcFlowTreatmentDevice, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcFlowTreatmentDevice >
IfcFilterType, IfcFlowTreatmentDeviceType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > 
IfcDistributionFlowElementType > IfcFlowTreatmentDeviceType >
IfcFireSuppressionTerminal, IfcFlowTerminal, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcFlowTerminal >
IfcFireSuppressionTerminalType, IfcFlowTerminalType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcFlowTerminalType >
IfcFlowController, IfcDistributionFlowElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement >
IfcFlowControllerType, IfcDistributionFlowElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType >
IfcFlowFitting, IfcDistributionFlowElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement >
IfcFlowFittingType, IfcDistributionFlowElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType >
IfcFlowInstrument, IfcDistributionControlElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionControlElement >
IfcFlowInstrumentType, IfcDistributionControlElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionControlElementType >
IfcFlowMeter, IfcFlowController, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcFlowController >
IfcFlowMeterType, IfcFlowControllerType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcFlowControllerType >
IfcFlowMovingDevice, IfcDistributionFlowElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement >
IfcFlowMovingDeviceType, IfcDistributionFlowElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType >
IfcFlowSegment, IfcDistributionFlowElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement >
IfcFlowSegmentType, IfcDistributionFlowElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType >
IfcFlowStorageDevice, IfcDistributionFlowElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement >
IfcFlowStorageDeviceType, IfcDistributionFlowElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType >
IfcFlowTerminal, IfcDistributionFlowElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement >
IfcFlowTerminalType, IfcDistributionFlowElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType >
IfcFlowTreatmentDevice, IfcDistributionFlowElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement >
IfcFlowTreatmentDeviceType, IfcDistributionFlowElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType >
IfcFooting, IfcBuildingElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcBuildingElement >
IfcFootingType, IfcBuildingElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcBuildingElementType >        
IfcFurnishingElement, IfcElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement >
IfcFurnishingElementType, IfcElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType >
IfcFurniture, IfcFurnishingElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcFurnishingElement >
IfcFurnitureType, IfcFurnishingElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcFurnishingElementType >  
IfcGeographicElement, IfcElement, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement >
IfcGeographicElementType, IfcElementType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType >
IfcHeatExchanger, IfcEnergyConversionDevice, Entity > IfcRoot > IfcObjectDefinition > IfcObject > IfcProduct > IfcElement > IfcDistributionElement > IfcDistributionFlowElement > IfcEnergyConversionDevice >
IfcHeatExchangerType, IfcEnergyConversionDeviceType, Entity > IfcRoot > IfcObjectDefinition > IfcTypeObject > IfcTypeProduct > IfcElementType > IfcDistributionElementType > IfcDistributionFlowElementType > IfcEnergyConversionDeviceType >
